2026-03-22 10:02:29 | INFO | ══════════════════════════════════════════════════
2026-03-22 10:02:29 | INFO | KenPom Teams Pull
2026-03-22 10:02:29 | INFO | Years: 2002 → 2025
2026-03-22 10:02:29 | INFO | ══════════════════════════════════════════════════
2026-03-22 10:02:52 | INFO | Session authenticated
2026-03-22 10:02:52 | ERROR | y=2002 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2003 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2004 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2005 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2006 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2007 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2008 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2009 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2010 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2011 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2012 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2013 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2014 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2015 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2016 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2017 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2018 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2019 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2020 | HTTP 401
2026-03-22 10:02:52 | ERROR | y=2021 | HTTP 401
2026-03-22 10:02:53 | ERROR | y=2022 | HTTP 401
2026-03-22 10:02:53 | ERROR | y=2023 | HTTP 401
2026-03-22 10:02:53 | ERROR | y=2024 | HTTP 401
2026-03-22 10:02:53 | ERROR | y=2025 | HTTP 401
2026-03-22 10:02:53 | ERROR | No data collected — exiting
